tweet_id,term,pos,pos_fre,neg_fre,label
488,sumpah,n,1,2,0
490,tolong,v,5,0,0
491,maaf,n,0,1,1
491,alam,n,1,1,1
491,agar,k,1,0,1
491,cek,n,2,0,1
492,hari,n,4,0,0
492,habis,v,2,0,0
493,sobat,n,1,0,0
494,cek,n,2,0,1
496,niat,n,0,1,0
496,proses,n,0,1,0
498,maaf,n,0,1,1
498,alam,n,1,1,1
498,manual,adj,0,1,1
500,cek,n,2,0,1
501,ribut,adj,1,1,0
501,putus,v,1,2,0
501,masuk,v,1,0,0
502,mohon,v,1,0,1
502,cek,n,2,0,1
503,kek,n,0,1,0
503,sampah,n,3,1,0
504,senang,adj,7,3,1
506,tukar,v,1,1,0
506,lambat,adj,0,3,0
507,maaf,n,0,1,1
507,alam,n,1,1,1
507,rasa,n,5,3,1
507,cek,n,2,0,1
507,balas,v,0,1,1
508,maaf,n,0,1,1
508,alam,n,1,1,1
508,turun,v,1,6,1
511,habis,v,2,0,0
511,habis,v,2,0,0
511,hilang,v,0,10,0
512,mas,n,0,1,1
512,maaf,n,0,1,1
512,mohon,v,1,0,1
512,nama,n,1,0,1
513,mohon,v,1,0,1
513,sisa,n,0,1,1
513,nama,n,1,0,1
515,lambat,adj,0,3,0
515,kosong,adj,3,15,0
517,cegah,v,1,0,0
518,cek,n,2,0,1
519,tolong,v,5,0,0
519,cek,n,2,0,0
520,aplikasi,n,1,0,1
520,baru,adj,6,5,1
520,sesuai,n,2,0,1
520,kapasitas,n,2,0,1
520,salam,n,3,0,1
521,mohon,v,1,0,0
521,gagal,v,0,11,0
522,mohon,v,1,0,0
522,main,v,3,0,0
522,aplikasi,n,1,0,0
523,isi,n,1,0,0
523,masuk,v,1,0,0
524,mohon,v,1,0,1
524,cek,n,2,0,1
525,mohon,v,1,0,1
525,maaf,n,0,1,1
525,jadi,v,1,1,1
525,kasih,n,4,0,1
527,main,v,3,0,0
527,muncul,v,3,2,0
528,maaf,n,0,1,1
528,alam,n,1,1,1
528,cek,n,2,0,1
528,nama,n,1,0,1
529,cerita,n,0,1,0
531,cek,n,2,0,1
532,cek,n,2,0,1
533,kek,n,0,1,0
534,salah,v,0,2,0
544,ada,v,5,0,0
544,khusus,adj,1,1,0
544,aktif,adj,6,2,0
545,tolong,v,5,0,1
546,maaf,n,0,1,1
546,alam,n,1,1,1
547,tolong,v,5,0,0
547,cek,n,2,0,0
549,kembali,v,1,0,0
550,jelek,adj,1,2,0
550,tolong,v,5,0,0
550,baik,adj,12,0,0
552,maaf,n,0,1,1
552,nyaman,adj,3,1,1
552,agar,k,1,0,1
552,sesuai,n,2,0,1
553,hutan,n,0,2,0
553,masuk,v,1,0,0
554,hutan,n,0,2,0
554,masuk,v,1,0,0
555,tolong,v,5,0,0
555,cek,n,2,0,0
556,cek,n,2,0,1
557,cek,n,2,0,1
558,kecewa,adj,0,3,0
558,kali,n,1,0,0
558,hasil,n,3,2,0
558,buang,v,1,4,0
559,kasih,n,4,0,1
559,mohon,v,1,0,1
559,cek,n,2,0,1
560,hilang,v,0,10,0
563,gagal,v,0,11,0
566,cek,n,2,0,1
566,salam,n,3,0,1
570,kasih,n,4,0,1
572,mogok,v,0,11,0
572,kerja,n,3,1,0
572,brengsek,adj,0,1,0
573,mohon,v,1,0,1
573,maaf,n,0,1,1
574,masuk,v,1,0,0
575,maaf,n,0,1,1
575,alam,n,1,1,1
576,normal,adj,2,2,1
576,pasti,adj,6,6,1
577,tenggelam,v,1,3,0
577,baik,adj,12,0,0
577,cara,n,7,0,0
577,manual,adj,0,1,0
578,balas,v,0,1,1
578,cek,n,2,0,1
578,salam,n,3,0,1
579,tolong,v,5,0,0
579,cek,n,2,0,0
580,cek,n,2,0,0
580,adu,v,0,1,0
581,pasti,adj,6,6,1
581,bonus,n,1,0,1
581,masuk,v,1,0,1
582,maaf,n,0,1,1
582,nyaman,adj,3,1,1
582,aplikasi,n,1,0,1
584,mohon,v,1,0,1
584,maaf,n,0,1,1
584,manual,adj,0,1,1
585,kelas,n,2,0,0
586,cek,n,2,0,0
586,wilayah,n,3,1,0
587,cek,n,2,0,0
587,daerah,n,4,2,0
588,balas,v,0,1,1
588,cek,n,2,0,1
589,baca,v,1,0,0
592,kerja,n,3,1,0
593,selamat,adj,3,2,0
593,muncul,v,3,2,0
594,maaf,n,0,1,1
594,bonus,n,1,0,1
594,oleh,k,0,1,1
594,nama,n,1,0,1
595,salam,n,3,0,1
596,maaf,n,0,1,1
596,alam,n,1,1,1
596,masalah,n,2,7,1
596,balas,v,0,1,1
597,rusak,adj,0,1,0
597,proses,n,0,1,0
598,bonus,n,1,0,0
599,selamat,adj,3,2,0
599,pandu,n,1,0,0
600,salam,n,3,0,1
603,salam,n,3,0,1
604,suka,adj,3,1,0
604,potong,n,1,1,0
604,potong,n,1,1,0
607,sesuai,n,2,0,0
608,buka,v,1,2,0
608,habis,v,2,0,0
609,aktif,adj,6,2,1
610,aktif,adj,6,2,0
611,maaf,n,0,1,1
611,alam,n,1,1,1
611,pasti,adj,6,6,1
613,niat,n,0,1,0
613,gagal,v,0,11,0
613,gagal,v,0,11,0
613,aplikasi,n,1,0,0
613,aplikasi,n,1,0,0
614,tolong,v,5,0,0
614,cek,n,2,0,0
615,tolong,v,5,0,0
615,cek,n,2,0,0
615,suka,adj,3,1,0
615,alas,n,1,3,0
615,masuk,v,1,0,0
615,akal,n,3,1,0
616,alam,n,1,1,1
616,balas,v,0,1,1
616,cek,n,2,0,1
617,maaf,n,0,1,1
617,nyaman,adj,3,1,1
617,agar,k,1,0,1
617,aktif,adj,6,2,1
618,suka,adj,3,1,0
619,isi,n,1,0,0
619,soal,n,1,1,0
621,cek,n,2,0,1
622,salam,n,3,0,1
623,kena,v,0,1,0
624,maaf,n,0,1,1
624,lambat,adj,0,3,1
625,lambat,adj,0,3,0
626,pal,n,1,0,1
627,luka,n,0,5,0
628,tolong,v,5,0,0
629,baik,adj,12,0,1
629,ragu,adj,1,0,1
629,bu,n,1,0,1
630,baik,adj,12,0,0
631,cek,n,2,0,1
631,salam,n,3,0,1
634,mohon,v,1,0,1
634,maaf,n,0,1,1
634,mohon,v,1,0,1
635,balas,v,0,1,1
635,cek,n,2,0,1
635,salam,n,3,0,1
638,balas,v,0,1,1
639,baik,adj,12,0,1
639,ragu,adj,1,0,1
641,jadi,v,1,1,0
642,maaf,n,0,1,1
642,nama,n,1,0,1
643,ganggu,v,0,3,0
644,maaf,n,0,1,1
645,panggil,v,4,1,0
645,cek,n,2,0,0
646,tempat,n,2,1,1
647,balas,v,0,1,1
647,cek,n,2,0,1
647,salam,n,3,0,1
648,tolong,v,5,0,0
648,ketat,adj,6,6,0
648,beri,v,0,1,0
649,mohon,v,1,0,1
649,maaf,n,0,1,1
649,nama,n,1,0,1
650,jaga,v,4,4,1
650,cek,n,2,0,1
653,cek,n,2,0,1
654,tolong,v,5,0,1
654,cek,n,2,0,1
655,buka,v,1,2,0
655,sehat,adj,2,0,0
657,cek,n,2,0,1
658,jelek,adj,1,2,0
659,maaf,n,0,1,1
659,mohon,v,1,0,1
659,nama,n,1,0,1
661,cek,n,2,0,1
663,lambat,adj,0,3,0
665,mohon,v,1,0,1
665,maaf,n,0,1,1
665,bersih,adj,14,4,1
667,mudah,adj,5,4,0
668,buka,v,1,2,1
670,lambat,adj,0,3,0
672,mohon,v,1,0,1
672,maaf,n,0,1,1
672,manual,adj,0,1,1
674,buat,v,1,1,0
674,buka,v,1,2,0
676,buat,v,1,1,0
676,cek,n,2,0,0
676,kuat,adj,17,8,0
676,wilayah,n,3,1,0
677,pasti,adj,6,6,1
677,sesuai,n,2,0,1
678,bapuk,n,1,0,0
679,buat,v,1,1,0
679,main,v,3,0,0
679,kaya,adj,2,2,0
679,bego,adj,0,2,0
680,malam,n,0,1,1
680,maaf,n,0,1,1
680,salam,n,3,0,1
681,payah,adj,1,7,0
682,cek,n,2,0,1
685,cek,n,2,0,1
686,maaf,n,0,1,1
686,saat,n,1,1,1
686,proses,n,0,1,1
686,mohon,v,1,0,1
686,tunggu,v,0,1,1
687,lambat,adj,0,3,0
688,cek,n,2,0,1
689,tolong,v,5,0,0
689,cek,n,2,0,0
690,salam,n,3,0,1
691,daerah,n,4,2,0
691,rendah,adj,1,18,0
691,lambat,adj,0,3,0
692,malam,n,0,1,1
692,maaf,n,0,1,1
692,salam,n,3,0,1
693,cek,n,2,0,1
694,kaya,adj,2,2,0
695,tolong,v,5,0,1
695,cek,n,2,0,1
696,cek,n,2,0,1
697,maaf,n,0,1,1
697,alam,n,1,1,1
697,aplikasi,n,1,0,1
699,nama,n,1,0,1
700,maaf,n,0,1,1
701,gagal,v,0,11,0
702,hilang,v,0,10,0
702,hilang,v,0,10,0
703,salam,n,3,0,1
704,bekas,n,0,1,0
704,lambat,adj,0,3,0
704,gagal,v,0,11,0
705,cek,n,2,0,1
705,cantik,adj,15,0,1
706,buat,v,1,1,0
706,main,v,3,0,0
707,cek,n,2,0,1
709,cek,n,2,0,1
710,kena,v,0,1,0
711,cek,n,2,0,1
712,tolong,v,5,0,0
713,masuk,v,1,0,1
